,最低氣溫(℃),最大陣風(m/s),最大陣風風向(360degree),最小相對溼度(%),最高氣溫(℃),氣溫(℃),測站最低氣壓(hPa),測站最高氣壓(hPa),相對溼度(%),風向(360degree),測站氣壓(hPa),降水量(mm),風速(m/s),year,month,day,date
0,13.7,8.4,116,60,14.6,14.1,1010.2,1013.9,81,107,1011.9,0.0,0.7,2012,1,1,2012-01-01
1,13.5,8.6,119,48,16.5,14.8,1007.9,1012.1,60,117,1009.7,0.0,2.1,2012,1,2,2012-01-02
2,12.2,8.6,119,60,18.9,15.8,1006.7,1013.0,79,117,1009.1,0.0,1.7,2012,1,3,2012-01-03
3,8.1,8.7,95,81,12.4,9.5,1012.6,1018.3,90,169,1015.4,7.5,0.7,2012,1,4,2012-01-04
4,9.3,8.1,94,81,14.0,11.4,1009.0,1015.6,93,116,1012.3,16.0,1.5,2012,1,5,2012-01-05
5,13.5,5.6,88,92,16.1,14.5,1008.5,1014.1,97,33,1010.9,34.5,0.5,2012,1,6,2012-01-06
6,14.2,9.8,121,74,17.9,15.8,1012.2,1015.5,88,118,1013.7,0.0,2.1,2012,1,7,2012-01-07
7,15.6,4.2,106,91,17.6,16.5,1010.3,1014.0,96,122,1012.2,1.5,0.3,2012,1,8,2012-01-08
8,15.1,8.7,102,75,18.5,16.3,1010.2,1014.3,89,116,1011.9,1.0,1.5,2012,1,9,2012-01-09
9,15.8,9.0,110,56,20.1,17.1,1009.1,1012.7,74,117,1011.2,0.0,1.5,2012,1,10,2012-01-10
10,14.1,9.3,119,51,17.0,15.3,1012.5,1016.4,66,116,1014.5,0.0,1.5,2012,1,11,2012-01-11
11,13.9,13.3,112,60,18.4,15.6,1007.7,1014.0,76,116,1010.8,0.0,3.8,2012,1,12,2012-01-12
12,16.0,9.4,118,81,19.2,17.4,1005.9,1011.2,90,117,1008.3,0.0,2.0,2012,1,13,2012-01-13
13,16.2,7.8,98,74,22.2,18.7,1001.3,1006.3,93,268,1003.7,4.0,1.1,2012,1,14,2012-01-14
14,16.2,3.2,107,91,18.2,17.0,997.0,1002.9,97,291,999.7,11.5,0.2,2012,1,15,2012-01-15
15,13.3,6.1,279,81,17.3,14.6,998.3,1005.4,94,310,1001.7,16.0,0.4,2012,1,16,2012-01-16
16,13.2,10.7,87,46,20.2,16.7,1001.0,1005.2,72,121,1003.5,0.0,2.1,2012,1,17,2012-01-17
17,14.9,4.2,128,33,24.9,18.1,1000.9,1005.2,75,330,1003.1,0.0,0.3,2012,1,18,2012-01-18
18,15.0,7.3,116,56,21.8,17.4,1002.8,1006.0,84,106,1004.5,0.0,0.6,2012,1,19,2012-01-19
19,15.4,9.2,97,68,18.5,16.6,1002.8,1006.8,81,117,1004.7,0.0,1.8,2012,1,20,2012-01-20
20,14.0,10.0,82,71,18.5,15.8,1002.2,1006.9,86,106,1004.5,3.0,1.2,2012,1,21,2012-01-21
21,10.4,5.0,324,89,14.8,12.3,1005.1,1010.8,96,9,1008.1,33.5,0.3,2012,1,22,2012-01-22
22,9.5,8.9,118,86,12.1,11.1,1007.6,1011.8,92,117,1009.7,13.0,1.1,2012,1,23,2012-01-23
23,11.7,8.0,115,86,15.4,12.9,1004.0,1009.1,95,121,1006.8,21.5,1.1,2012,1,24,2012-01-24
24,9.1,7.6,113,82,11.7,10.0,1008.1,1012.3,90,116,1010.3,3.5,1.0,2012,1,25,2012-01-25
25,9.7,10.3,82,77,15.3,12.7,1005.6,1012.2,89,119,1008.6,7.5,2.2,2012,1,26,2012-01-26
26,12.1,3.3,275,69,18.6,14.9,1004.4,1008.8,90,290,1006.2,0.5,0.2,2012,1,27,2012-01-27
27,14.5,3.1,263,78,17.5,15.4,1003.8,1007.5,89,288,1005.5,0.0,0.2,2012,1,28,2012-01-28
28,14.6,4.1,91,82,16.9,15.5,1005.3,1009.1,91,184,1007.2,0.5,0.2,2012,1,29,2012-01-29
29,13.9,4.2,282,73,17.9,15.2,1007.0,1010.5,86,306,1009.0,0.0,0.4,2012,1,30,2012-01-30
30,12.3,5.1,99,79,15.0,13.3,1008.2,1012.2,89,119,1009.8,1.5,0.4,2012,1,31,2012-01-31
31,13.4,7.6,92,69,19.1,15.7,1006.8,1010.2,85,118,1008.3,0.0,1.5,2012,2,1,2012-02-01
32,11.6,12.2,101,74,15.1,13.2,1010.1,1014.5,87,112,1012.2,2.5,2.1,2012,2,2,2012-02-02
33,11.1,8.6,73,87,12.6,11.7,1010.0,1013.6,95,114,1011.6,7.5,2.2,2012,2,3,2012-02-03
34,12.6,8.9,91,63,22.2,17.0,1004.1,1010.6,86,114,1007.8,0.0,2.2,2012,2,4,2012-02-04
35,14.9,4.6,281,53,23.7,18.3,1003.5,1008.4,86,262,1006.0,0.5,0.4,2012,2,5,2012-02-05
36,16.6,4.2,254,45,26.8,20.3,996.4,1003.6,78,108,999.7,0.0,0.2,2012,2,6,2012-02-06
37,9.2,5.2,108,84,19.5,11.9,999.2,1011.7,93,45,1006.7,30.5,0.5,2012,2,7,2012-02-07
38,8.7,8.3,121,82,10.4,9.6,1010.2,1013.7,91,112,1011.7,11.0,1.1,2012,2,8,2012-02-08
39,9.3,11.9,99,78,13.6,11.9,1007.0,1013.1,91,111,1009.0,1.0,2.3,2012,2,9,2012-02-09
40,12.4,3.9,266,96,14.7,13.7,1007.2,1010.7,99,127,1008.9,0.5,0.1,2012,2,10,2012-02-10
41,13.0,9.8,106,70,18.2,15.3,1008.6,1011.9,90,119,1010.3,0.5,1.4,2012,2,11,2012-02-11
42,14.8,10.8,108,42,27.4,19.2,1004.2,1009.4,81,118,1007.5,0.0,1.9,2012,2,12,2012-02-12
43,14.4,5.6,83,30,27.5,20.0,1005.0,1010.6,70,86,1007.5,0.0,0.5,2012,2,13,2012-02-13
44,15.8,4.1,311,73,22.7,18.5,1002.1,1007.7,92,269,1004.5,0.0,0.3,2012,2,14,2012-02-14
45,15.5,7.1,104,84,18.4,16.5,1001.3,1005.3,96,280,1003.5,2.0,0.4,2012,2,15,2012-02-15
46,12.9,3.7,136,84,15.6,13.9,1004.4,1008.7,94,140,1006.8,10.5,0.2,2012,2,16,2012-02-16
